 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr,Ribo_NN_Dist,Ribo_EmpP,Ribo_CloserThanRand,Experiment
1315,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436946,0.093,590.196,378,744,43.651,26.866,100.0,310,65535,0.3072409477917884,0.2875511396843951,False,Exp84_C3
1316,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436947,0.081,398.167,312,513,46.368,26.889,86.598,310,65535,1.4587151881021874,0.9649327878433664,False,Exp84_C3
1317,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436944,0.016,339.353,310,370,39.794,26.638,17.526,310,65535,1.507047776283152,0.9666861484511982,False,Exp84_C3
1318,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436945,0.048,374.56,311,464,47.294,26.702,51.546,310,65535,1.9500320510186466,0.9865575686732905,False,Exp84_C3
1319,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436950,0.093,811.072,414,1101,47.77,26.99,100.0,310,65535,2.0299403932135562,0.9877264757451782,False,Exp84_C3
1320,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436951,0.093,635.031,369,947,44.147,27.021,100.0,310,65535,0.10239628899525642,0.030976037405026302,True,Exp84_C3
1321,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436948,0.088,476.261,319,602,39.028,26.928,94.845,310,65535,0.8216160903974549,0.7884278199883109,False,Exp84_C3
1322,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436949,0.093,620.629,368,857,43.063,26.928,100.0,310,65535,0.8654322619361903,0.8077147866744594,False,Exp84_C3
1323,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436954,0.082,475.535,310,614,47.494,27.266,88.66,310,65535,1.6531185680404197,0.9760374050263004,False,Exp84_C3
1324,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436955,0.093,598.237,372,805,43.527,27.299,100.0,310,65535,0.4948130960271739,0.5172413793103449,False,Exp84_C3
1325,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436952,0.082,556.326,311,948,42.48,27.075,88.66,310,65535,1.4466945081806322,0.9637638807714787,False,Exp84_C3
1326,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436953,0.004,318.0,314,322,48.776,27.191,4.124,310,65535,2.328985401414103,0.9953243717124488,False,Exp84_C3
1327,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436958,0.061,684.375,311,1305,48.674,27.76,65.979,310,65535,1.8553948366857103,0.9842197545295149,False,Exp84_C3
1328,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436959,0.029,378.567,316,455,45.064,27.806,30.928,310,65535,1.1362011265616674,0.9088252483927528,False,Exp84_C3
1329,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436956,0.091,482.137,311,606,44.236,27.422,97.938,310,65535,0.30951736623330106,0.28988895382817065,False,Exp84_C3
1330,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436957,0.071,449.649,319,584,43.323,27.492,76.289,310,65535,0.7743209928705265,0.7533606078316774,False,Exp84_C3
1331,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436898,0.093,572.526,466,659,47.553,23.026,100.0,310,65535,1.8940480458531126,0.9853886616014027,False,Exp84_C3
1332,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436899,0.092,513.531,313,648,46.16,23.086,98.969,310,65535,0.6942398720903294,0.7030976037405027,False,Exp84_C3
1333,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436896,0.065,377.029,316,468,48.125,22.703,70.103,310,65535,2.1151182000068016,0.9906487434248977,False,Exp84_C3
