 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr
1039,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311352,0.033,753.484,668,874,12.703,27.999,38.750,662,65535
1040,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311355,0.023,714.818,668,789,15.049,28.604,27.500,662,65535
1041,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311354,0.023,776.636,679,891,8.517,28.458,27.500,662,65535
1042,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311357,0.077,854.986,663,1110,12.722,28.700,91.250,662,65535
1043,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311356,0.075,847.099,663,1064,12.474,28.637,88.750,662,65535
1044,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311359,0.036,802.088,680,931,14.787,28.814,42.500,662,65535
1045,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311358,0.061,873.138,668,1050,9.441,28.718,72.500,662,65535
1046,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311297,0.081,1280.779,684,1675,8.801,22.332,96.250,662,65535
1047,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311296,0.038,776.917,663,963,13.178,21.994,45.000,662,65535
1048,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311299,0.070,834.894,665,1067,12.595,22.530,82.500,662,65535
1049,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311298,0.077,1040.726,665,1423,11.791,22.339,91.250,662,65535
1050,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311301,0.078,1018.176,686,1437,10.035,22.696,92.500,662,65535
1051,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311300,0.081,954.494,677,1208,9.318,22.555,96.250,662,65535
1052,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311303,0.084,1265.412,862,1598,12.203,22.784,100.000,662,65535
1053,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311302,0.084,1156.388,753,1546,11.846,22.687,100.000,662,65535
1054,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311305,0.084,1018.663,810,1147,9.055,23.076,100.000,662,65535
1055,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311304,0.061,903.207,680,1110,10.792,22.902,72.500,662,65535
1056,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311307,0.055,854.115,677,1097,15.430,23.188,65.000,662,65535
1057,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311306,0.074,943.757,699,1173,11.961,23.167,87.500,662,65535
1058,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311309,0.084,1566.737,1031,1997,10.288,23.206,100.000,662,65535
1059,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311308,0.070,916.894,671,1088,8.431,23.209,82.500,662,65535
1060,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311311,0.073,897.377,676,1155,9.200,23.673,86.250,662,65535
1061,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311310,0.083,1025.481,664,1267,9.706,23.402,98.750,662,65535
1062,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311313,0.084,1181.338,664,1773,8.406,23.887,100.000,662,65535
1063,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311312,0.084,1118.600,697,1506,15.319,23.693,100.000,662,65535
1064,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311315,0.028,812.630,669,1025,15.584,24.144,33.750,662,65535
1065,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311314,0.070,890.621,662,1143,10.222,23.971,82.500,662,65535
1066,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311317,0.054,795.373,672,936,15.209,24.174,63.750,662,65535
1067,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311316,0.081,1019.195,689,1254,9.837,24.152,96.250,662,65535
1068,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311319,0.072,883.544,679,1097,8.873,24.717,85.000,662,65535
1069,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311318,0.039,811.649,676,978,11.838,24.426,46.250,662,65535
1070,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311321,0.076,968.250,671,1252,11.680,24.962,90.000,662,65535
1071,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311320,0.011,696.200,666,730,8.043,24.822,12.500,662,65535
1072,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311323,0.071,914.224,673,1135,8.717,25.160,83.750,662,65535
1073,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311322,0.084,1057.588,745,1328,9.510,25.023,100.000,662,65535
1074,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311325,0.012,686.818,667,709,12.937,25.270,13.750,662,65535
1075,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311324,0.041,822.282,662,1015,8.175,25.277,48.750,662,65535
1076,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311327,0.082,1033.321,676,1342,14.277,25.542,97.500,662,65535
1077,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311326,0.084,1150.062,793,1408,11.717,25.413,100.000,662,65535
1078,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311777,0.061,818.741,667,933,31.485,34.663,72.500,662,65535
1079,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311776,0.070,824.682,669,1015,17.814,34.650,82.500,662,65535
1080,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311779,0.048,881.522,668,1184,28.072,34.771,57.500,662,65535
1081,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311778,0.067,885.000,677,1128,27.481,34.724,80.000,662,65535
1082,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311781,0.035,761.091,664,891,19.866,35.011,41.250,662,65535
1083,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311780,0.065,921.839,663,1232,27.356,34.960,77.500,662,65535
1084,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311783,0.061,930.534,678,1176,24.366,35.024,72.500,662,65535
1085,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311782,0.053,965.180,695,1263,28.258,35.018,62.500,662,65535
1086,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311785,0.048,858.087,669,1095,23.555,35.101,57.500,662,65535
1087,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311784,0.079,902.080,672,1133,25.502,35.047,93.750,662,65535
1088,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311787,0.056,859.226,668,1071,28.088,35.111,66.250,662,65535
1089,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311786,0.079,1386.840,740,1779,24.835,35.091,93.750,662,65535
1090,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311789,0.051,844.646,669,1097,21.022,35.170,60.000,662,65535
1091,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311788,0.062,791.661,668,935,16.061,35.144,73.750,662,65535
1092,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311791,0.084,1504.050,1027,1799,26.257,35.279,100.000,662,65535
1093,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311790,0.057,832.222,672,1051,16.730,35.302,67.500,662,65535
1094,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311793,0.064,853.656,665,1092,26.967,35.316,76.250,662,65535
1095,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311792,0.063,864.500,663,1165,18.657,35.334,75.000,662,65535
1096,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311795,0.060,912.105,669,1125,22.057,35.474,71.250,662,65535
1097,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311794,0.076,922.972,672,1249,18.086,35.354,90.000,662,65535
1098,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311797,0.072,1009.471,665,1368,17.311,35.557,85.000,662,65535
1099,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311796,0.074,872.314,669,1056,23.190,35.466,87.500,662,65535
1100,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311799,0.038,833.722,669,1043,26.981,35.717,45.000,662,65535
1101,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311798,0.067,838.984,671,1033,20.430,35.573,80.000,662,65535
1102,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311801,0.083,872.684,662,1056,21.357,35.898,98.750,662,65535
